专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型
040105,040105学前教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕
040106,040106高等教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕
040107,040107成人教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕
040108,040108职业技术教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕
040109,040109特殊教育学,教育学,04,0401,01,337,47,141,327,44,132,学硕
040110,040110教育技术学(可授教育学、理学学位),教育学,04,0401,01,337,47,141,327,44,132,学硕
040200,040200心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕
040201,040201基础心理学(可授教育学、理学学位),教育学,04,0402,02,337,47,141,327,44,132,学硕
040202,040202发展与教育心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕
040203,040203应用心理学,教育学,04,0402,02,337,47,141,327,44,132,学硕
040300,040300体育学,教育学,04,0403,03,281,35,105,271,32,96,学硕
040301,040301体育人文社会学,教育学,04,0403,03,281,35,105,271,32,96,学硕
040302,040302运动人体科学(可授教育学、理学、医学学位),教育学,04,0403,03,281,35,105,271,32,96,学硕
040303,040303体育教育训练学,教育学,04,0403,03,281,35,105,271,32,96,学硕
040304,040304民族传统体育学,教育学,04,0403,03,281,35,105,271,32,96,学硕
050100,050100中国语言文学,文学,05,0501,01,355,53,80,345,50,75,学硕
050101,050101文艺学,文学,05,0501,01,355,53,80,345,50,75,学硕
050102,050102语言学及应用语言学,文学,05,0501,01,355,53,80,345,50,75,学硕
050103,050103汉语言文字学,文学,05,0501,01,355,53,80,345,50,75,学硕
050104,050104中国古典文献学,文学,05,0501,01,355,53,80,345,50,75,学硕
050105,050105中国古代文学,文学,05,0501,01,355,53,80,345,50,75,学硕
050106,050106中国现当代文学,文学,05,0501,01,355,53,80,345,50,75,学硕
050107,050107中国少数民族语言文学(分语族),文学,05,0501,01,355,53,80,345,50,75,学硕
050108,050108比较文学与世界文学,文学,05,0501,01,355,53,80,345,50,75,学硕
050200,050200外国语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050201,050201英语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050202,050202俄语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050203,050203法语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050204,050204德语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050205,050205日语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050206,050206印度语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050207,050207西班牙语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050208,050208阿拉伯语语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050209,050209欧洲语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050210,050210亚非语言文学,文学,05,0502,02,355,53,80,345,50,75,学硕
050211,050211外国语言学及应用语言学,文学,05,0502,02,355,53,80,345,50,75,学硕
050300,050300新闻传播学,文学,05,0503,03,355,53,80,345,50,75,学硕
050301,050301新闻学,文学,05,0503,03,355,53,80,345,50,75,学硕
050302,050302传播学,文学,05,0503,03,355,53,80,345,50,75,学硕
060100,060100考古学,历史学,06,0601,01,321,43,129,311,40,120,学硕
060101,060101考古学史和考古学理论,历史学,06,0601,01,321,43,129,311,40,120,学硕
060102,060102史前考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060103,060103夏商周考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060104,060104秦汉魏晋南北朝考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060105,060105唐宋元明清考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060106,060106科技考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060107,060107文化遗产与博物馆,历史学,06,0601,01,321,43,129,311,40,120,学硕
060108,060108古代文字与铭刻,历史学,06,0601,01,321,43,129,311,40,120,学硕
060109,060109专门考古,历史学,06,0601,01,321,43,129,311,40,120,学硕
060200,060200中国史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060201,060201历史地理学,历史学,06,0602,02,321,43,129,311,40,120,学硕
060202,060202历史文献学,历史学,06,0602,02,321,43,129,311,40,120,学硕
060203,060203史学理论及中国史学史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060204,060204中国古代史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060205,060205中国近代史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060206,060206中国现代史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060207,060207专门史,历史学,06,0602,02,321,43,129,311,40,120,学硕
060300,060300世界史,历史学,06,0603,03,321,43,129,311,40,120,学硕
060301,060301世界史学理论与史学史,历史学,06,0603,03,321,43,129,311,40,120,学硕
060302,060302世界古代中古史,历史学,06,0603,03,321,43,129,311,40,120,学硕
060303,060303世界近现代史,历史学,06,0603,03,321,43,129,311,40,120,学硕
060304,060304世界地区国别史,历史学,06,0603,03,321,43,129,311,40,120,学硕
060305,060305专门史与整体史,历史学,06,0603,03,321,43,129,311,40,120,学硕
070100,070100数学,理学,07,0701,01,280,37,56,270,34,51,学硕
070101,070101基础数学,理学,07,0701,01,280,37,56,270,34,51,学硕
070102,070102计算数学,理学,07,0701,01,280,37,56,270,34,51,学硕
070103,070103概率论与数理统计,理学,07,0701,01,280,37,56,270,34,51,学硕
070104,070104应用数学,理学,07,0701,01,280,37,56,270,34,51,学硕
070105,070105运筹学与控制论,理学,07,0701,01,280,37,56,270,34,51,学硕
070200,070200物理学,理学,07,0702,02,280,37,56,270,34,51,学硕
070201,070201理论物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070202,070202粒子物理与原子核物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070203,070203原子与分子物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070204,070204等离子体物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070205,070205凝聚态物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070206,070206声学,理学,07,0702,02,280,37,56,270,34,51,学硕
070207,070207光学,理学,07,0702,02,280,37,56,270,34,51,学硕
070208,070208无线电物理,理学,07,0702,02,280,37,56,270,34,51,学硕
070300,070300化学,理学,07,0703,03,280,37,56,270,34,51,学硕
070301,070301无机化学,理学,07,0703,03,280,37,56,270,34,51,学硕
070302,070302分析化学,理学,07,0703,03,280,37,56,270,34,51,学硕
070303,070303有机化学,理学,07,0703,03,280,37,56,270,34,51,学硕
070304,070304物理化学(含∶化学物理),理学,07,0703,03,280,37,56,270,34,51,学硕
070305,070305高分子化学与物理,理学,07,0703,03,280,37,56,270,34,51,学硕
070400,070400天文学,理学,07,0704,04,280,37,56,270,34,51,学硕
070401,070401天体物理,理学,07,0704,04,280,37,56,270,34,51,学硕
070402,070402天体测量与天体力学,理学,07,0704,04,280,37,56,270,34,51,学硕
070500,070500地理学,理学,07,0705,05,280,37,56,270,34,51,学硕
