专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型,A全日制调剂,A全日制一志愿,B全日制调剂,B全日制一志愿,A非全日制调剂,A非全日制一志愿,B非全日制调剂,B非全日制一志愿
030301,030301社会学,法学,03,0303,03,321,44,66,311,41,62,学硕,, 379.67 , 344.44 , 340.33 ,,,,
030302,030302人口学,法学,03,0303,03,321,44,66,311,41,62,学硕, 341.12 , 385.18 , 318.00 ,,,,,
030303,030303人类学,法学,03,0303,03,321,44,66,311,41,62,学硕, 360.00 , 372.19 , 335.00 , 339.75 ,,,,
030304,030304民俗学(含：中国民间文学),法学,03,0303,03,321,44,66,311,41,62,学硕, 356.27 , 373.36 , 341.00 , 350.20 ,,,,
030400,030400民族学,法学,03,0304,04,321,44,66,311,41,62,学硕, 339.07 , 353.26 , 346.76 , 351.66 ,,,,
030401,030401民族学,法学,03,0304,04,321,44,66,311,41,62,学硕, 350.17 , 351.00 , 339.21 , 331.61 ,,,,
030402,030402马克思主义民族理论与政策,法学,03,0304,04,321,44,66,311,41,62,学硕, 353.75 , 344.00 , 347.62 , 332.42 ,,,,
030403,030403中国少数民族经济,法学,03,0304,04,321,44,66,311,41,62,学硕, 359.33 , 331.05 , 348.18 , 308.61 ,,,,
030404,030404中国少数民族史,法学,03,0304,04,321,44,66,311,41,62,学硕, 347.65 , 342.88 , 339.32 , 344.84 ,,,,
030405,030405中国少数民族艺术,法学,03,0304,04,321,44,66,311,41,62,学硕, 327.75 ,, 346.20 , 323.56 ,,,,
030500,030500马克思主义理论,法学,03,0305,05,321,44,66,311,41,62,学硕, 357.64 , 369.97 , 332.29 , 356.71 , 339.66 , 345.35 , 366.00 , 368.40 
030501,030501马克思主义基本原理,法学,03,0305,05,321,44,66,311,41,62,学硕, 365.92 , 370.93 , 371.50 , 350.82 , 348.22 , 359.75 ,,
030502,030502马克思主义发展史,法学,03,0305,05,321,44,66,311,41,62,学硕, 368.74 , 375.97 , 378.00 , 350.13 ,,,,
