专业代码,专业代码与名称,学科分类,学科代码,一级学科代码,,国家线A线总分,国家线A线单科=100,国家线A线单科>100,国家线B线总分,国家线B线单科=100,国家线B线单科>100,学位类型,A全日制调剂,A全日制一志愿,B全日制调剂,B全日制一志愿,A非全日制调剂,A非全日制一志愿,B非全日制调剂,B非全日制一志愿
071306,071306修复生态学,理学,07,0713,13,280,37,56,270,34,51,学硕, 324.00 , 337.25 ,,,,,,
071307,071307可持续生态学,理学,07,0713,13,280,37,56,270,34,51,学硕,,,,,,,,
071400,071400统计学(可授理学、经济学学位),理学,07,0714,14,280,37,56,270,34,51,学硕, 333.52 , 350.84 , 307.10 , 328.18 ,,,,
071401,071401数理统计,理学,07,0714,14,280,37,56,270,34,51,学硕,,,,,,,,
071402,071402应用统计,理学,07,0714,14,280,37,56,270,34,51,学硕,,,,,,,,
071403,071403社会经济统计,理学,07,0714,14,280,37,56,270,34,51,学硕,,,,,,,,
071404,071404金融统计与风险管理和精算,理学,07,0714,14,280,37,56,270,34,51,学硕,,,,,,,,
080100,080100力学(可授工学、理学学位),工学,08,0801,01,253,34,51,243,31,47,学硕, 314.78 , 329.77 , 296.56 , 305.62 ,,,,
080101,080101一般力学与力学基础,工学,08,0801,01,253,34,51,243,31,47,学硕, 319.83 , 308.00 , 267.00 ,,,,,
080102,080102固体力学,工学,08,0801,01,253,34,51,243,31,47,学硕, 274.00 , 315.42 , 302.60 ,,,,,
080103,080103流体力学,工学,08,0801,01,253,34,51,243,31,47,学硕, 304.46 , 297.88 , 295.25 ,,,,,
080104,080104工程力学,工学,08,0801,01,253,34,51,243,31,47,学硕, 289.73 , 301.51 , 293.09 , 280.25 ,, 136.00 ,,
080200,080200机械工程,工学,08,0802,02,263,37,56,253,34,51,学硕, 303.45 , 326.52 , 290.14 , 306.29 ,,,,
080201,080201机械制造及其自动化,工学,08,0802,02,263,37,56,253,34,51,学硕, 299.57 , 324.86 , 297.97 , 308.32 ,,,,
080202,080202机械电子工程,工学,08,0802,02,263,37,56,253,34,51,学硕, 296.10 , 337.83 , 281.40 , 296.48 ,,,,
080203,080203机械设计及理论,工学,08,0802,02,263,37,56,253,34,51,学硕, 305.33 , 313.27 , 303.15 , 282.00 ,,,,
080204,080204车辆工程,工学,08,0802,02,263,37,56,253,34,51,学硕, 302.44 , 343.73 , 279.00 , 320.10 ,,,,
080300,080300光学工程,工学,08,0803,03,263,37,56,253,34,51,学硕, 291.03 , 329.86 , 289.29 , 278.00 ,,,,
080400,080400仪器科学与技术,工学,08,0804,04,263,37,56,253,34,51,学硕, 305.09 , 333.76 , 228.75 , 285.50 , 280.00 ,,,
080401,080401精密仪器及机械,工学,08,0804,04,263,37,56,253,34,51,学硕, 290.00 , 317.78 ,,,,,,
080402,080402测试计量技术及仪器,工学,08,0804,04,263,37,56,253,34,51,学硕, 306.48 , 326.55 ,,,,,,
080500,080500材料科学与工程,工学,08,0805,05,263,37,56,253,34,51,学硕, 302.41 , 338.74 , 253.50 , 307.48 , 285.00 ,,,
080501,080501材料物理与化学,工学,08,0805,05,263,37,56,253,34,51,学硕, 310.21 , 340.71 , 306.58 , 287.60 ,,,,
080502,080502材料学,工学,08,0805,05,263,37,56,253,34,51,学硕, 305.82 , 337.02 , 314.92 , 298.76 ,,,,
080503,080503材料加工工程,工学,08,0805,05,263,37,56,253,34,51,学硕, 314.43 , 335.51 , 292.73 , 298.00 ,,,,
080600,080600冶金工程,工学,08,0806,06,253,34,51,243,31,47,学硕, 290.64 , 314.38 , 269.29 , 271.00 ,,,,
080601,080601冶金物理化学,工学,08,0806,06,253,34,51,243,31,47,学硕,,, 287.80 ,,,,,
080602,080602钢铁冶金,工学,08,0806,06,253,34,51,243,31,47,学硕,,, 265.60 ,,,,,
080603,080603有色金属冶金,工学,08,0806,06,253,34,51,243,31,47,学硕, 302.50 , 335.00 , 278.16 , 273.47 ,,,,
080700,080700动力工程及工程热物理,工学,08,0807,07,253,34,51,243,31,47,学硕, 313.14 , 330.67 , 279.69 , 280.73 ,,,,
080701,080701工程热物理,工学,08,0807,07,253,34,51,243,31,47,学硕, 335.33 , 323.50 , 262.75 , 263.00 ,,,,
080702,080702热能工程,工学,08,0807,07,253,34,51,243,31,47,学硕, 308.83 , 341.10 , 290.50 , 301.00 ,,,,
080703,080703动力机械及工程,工学,08,0807,07,253,34,51,243,31,47,学硕, 287.50 , 349.11 , 276.00 , 289.00 ,,,,
080704,080704流体机械及工程,工学,08,0807,07,253,34,51,243,31,47,学硕, 286.56 , 316.00 , 265.00 , 304.00 ,,,,
080705,080705制冷及低温工程,工学,08,0807,07,253,34,51,243,31,47,学硕, 311.40 , 323.13 , 279.83 , 340.00 ,,,,
080706,080706化工过程机械,工学,08,0807,07,253,34,51,243,31,47,学硕, 312.37 , 309.94 , 274.45 ,,,,,
080800,080800电气工程,工学,08,0808,08,263,37,56,253,34,51,学硕, 327.14 , 317.57 , 311.65 , 306.04 , 287.00 ,,,
080801,080801电机与电器,工学,08,0808,08,263,37,56,253,34,51,学硕, 328.42 , 313.26 ,,,,,,
080802,080802电力系统及其自动化,工学,08,0808,08,263,37,56,253,34,51,学硕, 301.00 , 318.05 , 313.00 , 280.43 ,,,,
080803,080803高电压与绝缘技,工学,08,0808,08,263,37,56,253,34,51,学硕,, 340.75 , 311.00 ,,,,,
080804,080804电力电子与电力传动,工学,08,0808,08,263,37,56,253,34,51,学硕, 304.42 , 326.72 , 284.57 , 282.00 ,,,,
080805,080805电工理论与新技术,工学,08,0808,08,263,37,56,253,34,51,学硕, 284.00 , 332.00 ,,,,,,
080900,080900电子科学与技术(可授工学、理学学位),工学,08,0809,09,263,37,56,253,34,51,学硕, 321.85 , 342.27 , 256.85 , 297.21 ,,,,
080901,080901物理电子学,工学,08,0809,09,263,37,56,253,34,51,学硕, 309.15 , 334.04 , 312.80 , 298.25 ,,,,
080902,080902电路与系统,工学,08,0809,09,263,37,56,253,34,51,学硕, 293.54 , 336.02 , 274.06 ,,,,,
080903,080903微电子学与固体电子学,工学,08,0809,09,263,37,56,253,34,51,学硕, 317.96 , 335.09 , 293.50 ,,,,,
080904,080904电磁场与微波技术,工学,08,0809,09,263,37,56,253,34,51,学硕, 315.10 , 328.55 , 262.00 ,,,,,
081000,081000信息与通信工程,工学,08,0810,10,263,37,56,253,34,51,学硕, 308.86 , 343.64 , 286.09 , 298.02 ,, 383.00 ,,
081001,081001通信与信息系统,工学,08,0810,10,263,37,56,253,34,51,学硕, 315.70 , 335.49 , 287.25 , 290.77 ,,,,
081002,081002信号与信息处理,工学,08,0810,10,263,37,56,253,34,51,学硕, 315.13 , 340.49 , 286.07 , 284.00 ,,,,
081100,081100控制科学与工程,工学,08,0811,11,263,37,56,253,34,51,学硕, 304.28 , 334.61 , 287.81 , 296.79 , 319.00 ,,,
081101,081101控制理论与控制工程,工学,08,0811,11,263,37,56,253,34,51,学硕, 290.17 , 320.38 ,, 309.52 ,,,,
081102,081102检测技术与自动化装置,工学,08,0811,11,263,37,56,253,34,51,学硕, 287.98 , 321.17 , 298.33 , 307.00 ,,,,
081103,081103系统工程,工学,08,0811,11,263,37,56,253,34,51,学硕, 285.91 , 328.25 , 270.00 ,,,,,
081104,081104模式识别与智能系统,工学,08,0811,11,263,37,56,253,34,51,学硕, 308.53 , 322.05 , 304.00 , 300.00 ,,,,
081105,081105导航、制导与控制,工学,08,0811,11,263,37,56,253,34,51,学硕, 289.00 , 307.00 , 286.67 ,,,,,
081200,081200计算机科学与技术(可授工学、理学学位),工学,08,0812,12,263,37,56,253,34,51,学硕, 330.56 , 338.04 , 311.44 , 303.56 ,, 334.00 ,,
081201,081201计算机系统结构,工学,08,0812,12,263,37,56,253,34,51,学硕, 296.00 , 331.71 , 280.94 ,,,,,
081202,081202计算机软件与理论,工学,08,0812,12,263,37,56,253,34,51,学硕, 293.70 , 326.55 , 301.42 , 286.00 ,,,,
081203,081203计算机应用技术,工学,08,0812,12,263,37,56,253,34,51,学硕, 300.04 , 341.97 , 303.24 , 297.14 ,,,,
081300,081300建筑学,工学,08,0813,13,263,37,56,253,34,51,学硕, 337.26 , 340.65 , 325.27 , 310.26 ,,,,
081301,081301建筑历史与理论,工学,08,0813,13,263,37,56,253,34,51,学硕,, 348.00 , 333.75 , 279.67 ,,,,
081302,081302建筑设计及其理论,工学,08,0813,13,263,37,56,253,34,51,学硕,, 346.00 ,,,,,,
081303,081303城市规划与设计(含：风景园林规划与设计),工学,08,0813,13,263,37,56,253,34,51,学硕,,,,,,,,
081304,081304建筑技术科学,工学,08,0813,13,263,37,56,253,34,51,学硕,, 366.17 , 351.00 , 267.00 ,,,,
081400,081400土木工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 309.70 , 328.48 , 297.00 , 299.19 ,,,,
081401,081401岩土工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 329.28 , 342.13 , 286.31 , 283.67 ,,,,
081402,081402结构工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 311.29 , 331.39 , 288.63 , 296.14 ,,,,
081403,081403市政工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 307.34 , 331.06 , 355.00 , 287.72 ,,,,
081404,081404供热、供燃气、通风及空调工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 308.49 , 329.93 ,, 291.29 ,,,,
081405,081405防灾减灾工程及防护工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 312.68 , 321.83 , 281.00 , 267.00 ,,,,
081406,081406桥梁与隧道工程,工学,08,0814,14,263,37,56,253,34,51,学硕, 312.00 , 327.10 , 268.79 , 287.16 ,,,,
081500,081500水利工程,工学,08,0815,15,253,34,51,243,31,47,学硕, 289.92 , 324.11 , 288.24 , 293.60 ,,,,
081501,081501水文学及水资源,工学,08,0815,15,253,34,51,243,31,47,学硕, 299.22 , 339.91 , 279.67 ,,,,,
081502,081502水力学及河流动力学,工学,08,0815,15,253,34,51,243,31,47,学硕, 290.07 , 337.41 , 301.00 , 329.00 ,,,,
081503,081503水工结构工程,工学,08,0815,15,253,34,51,243,31,47,学硕, 315.91 , 328.96 , 274.00 , 255.00 ,,,,
081504,081504水利水电工程,工学,08,0815,15,253,34,51,243,31,47,学硕, 304.89 , 330.00 , 302.40 , 293.54 ,,,,
081505,081505港口、海岸及近海工程,工学,08,0815,15,253,34,51,243,31,47,学硕, 295.14 , 343.22 ,,,,,,
081600,081600测绘科学与技术,工学,08,0816,16,263,37,56,253,34,51,学硕, 287.71 , 330.75 , 293.74 , 297.17 ,,,,
081601,081601大地测量学与测量工程,工学,08,0816,16,263,37,56,253,34,51,学硕, 244.59 , 308.74 , 297.00 , 284.00 ,,,,
081602,081602摄影测量与遥感,工学,08,0816,16,263,37,56,253,34,51,学硕, 305.87 , 333.90 , 298.50 , 308.60 ,,,,
081603,081603地图制图学与地理信息工程,工学,08,0816,16,263,37,56,253,34,51,学硕, 312.43 , 332.57 , 293.00 , 296.33 ,,,,
081700,081700化学工程与技术,工学,08,0817,17,263,37,56,253,34,51,学硕, 291.97 , 331.68 , 290.87 , 306.80 ,, 277.00 ,,
081701,081701化学工程,工学,08,0817,17,263,37,56,253,34,51,学硕, 295.56 , 313.80 , 290.80 , 283.00 ,,,,
081702,081702化学工艺,工学,08,0817,17,263,37,56,253,34,51,学硕, 296.77 , 341.14 , 287.83 , 286.33 ,,,,
081703,081703生物化工,工学,08,0817,17,263,37,56,253,34,51,学硕, 291.67 , 323.43 , 328.00 ,,,,,
081704,081704应用化学,工学,08,0817,17,263,37,56,253,34,51,学硕, 298.35 , 328.11 , 303.82 , 275.11 ,,,,
081705,081705工业催化,工学,08,0817,17,263,37,56,253,34,51,学硕, 307.27 , 323.00 , 283.00 ,,,,,
081800,081800地质资源与地质工程,工学,08,0818,18,253,34,51,243,31,47,学硕, 289.30 , 329.32 , 282.10 , 287.21 ,, 281.50 ,,
081801,081801矿产普查与勘探,工学,08,0818,18,253,34,51,243,31,47,学硕, 301.00 , 343.10 , 290.86 , 304.00 ,,,,
081802,081802地球探测与信息技术,工学,08,0818,18,253,34,51,243,31,47,学硕, 337.00 , 359.87 , 312.50 ,,,,,
081803,081803地质工程,工学,08,0818,18,253,34,51,243,31,47,学硕, 302.25 , 342.97 , 286.75 , 296.50 ,,,,
081900,081900矿业工程,工学,08,0819,19,263,37,56,253,34,51,学硕, 283.54 , 323.71 , 280.50 , 303.35 ,,,,
081901,081901采矿工程,工学,08,0819,19,263,37,56,253,34,51,学硕, 287.00 , 336.29 , 304.00 , 274.00 ,,,,
081902,081902矿物加工工程,工学,08,0819,19,263,37,56,253,34,51,学硕, 296.91 , 327.18 , 290.00 , 294.95 ,,,,
081903,081903安全技术及工程,工学,08,0819,19,263,37,56,253,34,51,学硕, 289.00 ,, 271.00 , 295.50 ,,,,
082000,082000石油与天然气工程,工学,08,0820,20,263,37,56,253,34,51,学硕, 292.75 , 324.41 ,,,, 280.33 ,,
082001,082001油气井工程,工学,08,0820,20,263,37,56,253,34,51,学硕,,,,,,,,
082002,082002油气田开发工程,工学,08,0820,20,263,37,56,253,34,51,学硕,,,,,,,,
082003,082003油气储运工程,工学,08,0820,20,263,37,56,253,34,51,学硕,,,,,,,,
082100,082100纺织科学与工程,工学,08,0821,21,263,37,56,253,34,51,学硕, 296.27 , 327.78 , 282.64 ,,,,,
082101,082101纺织工程,工学,08,0821,21,263,37,56,253,34,51,学硕, 313.75 , 367.72 ,,,,,,
082102,082102纺织材料与纺织品设计,工学,08,0821,21,263,37,56,253,34,51,学硕, 322.00 , 365.61 ,,,,,,
082103,082103纺织化学与染整工程,工学,08,0821,21,263,37,56,253,34,51,学硕, 286.84 , 336.67 ,,,,,,
082104,082104服装设计与工程,工学,08,0821,21,263,37,56,253,34,51,学硕, 311.60 , 343.28 ,,,,,,
082200,082200轻工技术与工程,工学,08,0822,22,263,37,56,253,34,51,学硕, 301.44 , 330.61 , 299.28 , 305.65 ,,,,
082201,082201制浆造纸工程,工学,08,0822,22,263,37,56,253,34,51,学硕, 340.50 , 342.60 ,,,,,,
082202,082202制糖工程,工学,08,0822,22,263,37,56,253,34,51,学硕,, 331.63 ,,,,,,
082203,082203发酵工程,工学,08,0822,22,263,37,56,253,34,51,学硕,, 352.93 ,,,,,,
082204,082204皮革化学与工程,工学,08,0822,22,263,37,56,253,34,51,学硕,,,,,,,,
082300,082300交通运输工程,工学,08,0823,23,263,37,56,253,34,51,学硕, 310.65 , 334.17 , 283.79 , 276.33 ,,,,
082301,082301道路与铁道工程,工学,08,0823,23,263,37,56,253,34,51,学硕, 305.91 , 328.25 , 286.33 , 283.88 ,,,,
082302,082302交通信息工程及控制,工学,08,0823,23,263,37,56,253,34,51,学硕, 310.83 , 326.11 , 311.90 , 322.29 ,,,,
082303,082303交通运输规划与管理,工学,08,0823,23,263,37,56,253,34,51,学硕, 336.78 , 332.17 , 301.09 , 306.59 ,,,,
082304,082304载运工具运用工程,工学,08,0823,23,263,37,56,253,34,51,学硕, 305.08 , 337.44 , 281.83 ,,,,,
082400,082400船舶与海洋工程,工学,08,0824,24,263,37,56,253,34,51,学硕, 302.37 , 321.01 , 245.61 ,,,,,
082401,082401船舶与海洋结构物设计制造,工学,08,0824,24,263,37,56,253,34,51,学硕, 311.23 , 333.55 ,,,,,,
082402,082402轮机工程,工学,08,0824,24,263,37,56,253,34,51,学硕, 284.60 , 320.65 ,,,,,,
082403,082403水声工程,工学,08,0824,24,263,37,56,253,34,51,学硕,, 349.78 ,,,,,,
082500,082500航空宇航科学与技术,工学,08,0825,25,253,34,51,243,31,47,学硕, 326.95 , 349.41 ,,,,,,
082501,082501飞行器设计,工学,08,0825,25,253,34,51,243,31,47,学硕,, 374.13 ,,,,,,
082502,082502航空宇航推进理论与工程,工学,08,0825,25,253,34,51,243,31,47,学硕,, 368.13 ,,,,,,
082503,082503航空宇航制造工程,工学,08,0825,25,253,34,51,243,31,47,学硕,,,,,,,,
082504,082504人机与环境工程,工学,08,0825,25,253,34,51,243,31,47,学硕,, 360.14 ,,,,,,
082600,082600兵器科学与技术,工学,08,0826,26,253,34,51,243,31,47,学硕, 289.37 , 296.50 ,,,,,,
082601,082601武器系统与运用工程,工学,08,0826,26,253,34,51,243,31,47,学硕,,,,,,,,
082602,082602兵器发射理论与技术,工学,08,0826,26,253,34,51,243,31,47,学硕,,,,,,,,
082603,082603火炮、自动武器与弹药工程,工学,08,0826,26,253,34,51,243,31,47,学硕,,,,,,,,
082604,082604军事化学与烟火技术,工学,08,0826,26,253,34,51,243,31,47,学硕,,,,,,,,
082700,082700核科学与技术,工学,08,0827,27,253,34,51,243,31,47,学硕, 298.15 , 322.33 ,, 332.04 ,,,,
082701,082701核能科学与工程,工学,08,0827,27,253,34,51,243,31,47,学硕, 377.00 ,,,,,,,
082702,082702核燃料循环与材料,工学,08,0827,27,253,34,51,243,31,47,学硕,,,,,,,,
082703,082703核技术及应用,工学,08,0827,27,253,34,51,243,31,47,学硕,, 331.67 ,,,,,,
082704,082704辐射防护及环境保护,工学,08,0827,27,253,34,51,243,31,47,学硕,, 329.00 ,,,,,,
082800,082800农业工程,工学,08,0828,28,253,34,51,243,31,47,学硕, 292.50 , 321.88 , 276.39 , 288.33 ,,,,
082801,082801农业机械化工程,工学,08,0828,28,253,34,51,243,31,47,学硕, 311.60 , 339.36 , 282.14 , 307.75 ,,,,
082802,082802农业水土工程,工学,08,0828,28,253,34,51,243,31,47,学硕, 300.72 , 323.49 , 260.64 , 284.80 ,,,,
082803,082803农业生物环境与能源工程,工学,08,0828,28,253,34,51,243,31,47,学硕, 317.19 , 332.75 , 262.11 ,,,,,
082804,082804农业电气化与自动化,工学,08,0828,28,253,34,51,243,31,47,学硕, 317.59 , 324.66 , 285.33 , 293.00 ,,,,
082900,082900林业工程082901森林工程,工学,08,0829,29,263,37,56,253,34,51,学硕, 209.29 , 327.97 ,,,,,,
082901,,,,,29,,,,,,,, 316.00 , 315.50 , 269.40 ,,,, 288.00 ,
082902,082902木材科学与技术,工学,08,0829,29,263,37,56,253,34,51,学硕, 285.48 , 344.30 , 274.26 , 258.00 ,,,,
082903,082903林产化学加工工程,工学,08,0829,29,263,37,56,253,34,51,学硕, 293.75 , 321.38 , 288.25 ,,,,,
083000,083000环境科学与工程(可授工学、理学、农学学位),工学,08,0830,30,263,37,56,253,34,51,学硕, 307.49 , 334.43 , 289.99 , 301.46 ,,,,
083001,083001环境科学,工学,08,0830,30,263,37,56,253,34,51,学硕, 307.55 , 346.10 , 293.33 , 292.14 ,,,,
083002,083002环境工程,工学,08,0830,30,263,37,56,253,34,51,学硕, 310.52 , 334.71 , 287.64 , 308.52 ,,,,
083100,083100生物医学工程,工学,08,0831,31,263,37,56,253,34,51,学硕, 301.98 , 333.04 , 241.60 , 289.75 ,,,,
083200,083200食品科学与工程(可授工学、理学、医学学位),工学,08,0832,32,263,37,56,253,34,51,学硕, 284.30 , 334.21 , 292.76 , 318.98 ,,,,
083201,083201食品科学,工学,08,0832,32,263,37,56,253,34,51,学硕, 318.33 , 342.97 , 278.82 , 292.60 ,,,,
083202,083202粮食、油脂及植物蛋白工程,工学,08,0832,32,263,37,56,253,34,51,学硕, 288.81 , 321.14 ,,,,,,
083203,083203农产品加工及贮藏工程,工学,08,0832,32,263,37,56,253,34,51,学硕, 296.47 , 337.28 , 280.82 , 309.63 ,,,,
083204,083204水产品加工及贮藏工程,工学,08,0832,32,263,37,56,253,34,51,学硕, 286.60 , 337.75 ,,,,,,
083300,083300城乡规划学,工学,08,0833,33,263,37,56,253,34,51,学硕, 358.83 , 343.10 , 331.21 , 318.10 ,,,,
083301,083301区域发展与规划,工学,08,0833,33,263,37,56,253,34,51,学硕,,, 336.33 ,,,,,
083302,083302城乡规划与设计,工学,08,0833,33,263,37,56,253,34,51,学硕,,,,,,,,
083303,083303住房与社区建设规划,工学,08,0833,33,263,37,56,253,34,51,学硕,,,,,,,,
083304,083304城乡发展历史与遗产保护规划,工学,08,0833,33,263,37,56,253,34,51,学硕,,,,,,,,
083305,083305城乡生态环境与基础设施规划,工学,08,0833,33,263,37,56,253,34,51,学硕,,,,,,,,
083306,083306城乡规划管理,工学,08,0833,33,263,37,56,253,34,51,学硕,,,,,,,,
083400,083400风景园林学(可授工学、农学学位),工学,08,0834,34,263,37,56,253,34,51,学硕, 340.04 , 332.28 , 355.80 , 315.97 ,,,,
083500,083500软件工程,工学,08,0835,35,263,37,56,253,34,51,学硕, 319.33 , 335.64 , 301.28 , 299.45 ,,,,
083600,083600生物工程,工学,08,0836,36,263,37,56,253,34,51,学硕, 296.95 , 338.21 , 268.31 ,,,,,
083700,083700安全科学与工程,工学,08,0837,37,263,37,56,253,34,51,学硕, 305.34 , 341.39 , 307.75 , 320.44 ,,,,
083800,083800公安技术,工学,08,0838,38,263,37,56,253,34,51,学硕, 344.61 , 361.87 ,,,,,,
083900,083900网络空间安全,工学,08,0839,39,263,37,56,253,34,51,学硕, 320.24 , 344.11 , 303.39 , 293.47 ,,,,
090100,090100作物学,农学,09,0901,01,252,33,50,242,30,45,学硕, 289.34 , 320.59 , 295.90 , 310.34 ,,,,
090101,090101作物栽培学与耕作学,农学,09,0901,01,252,33,50,242,30,45,学硕, 301.70 , 333.34 , 263.30 , 281.71 ,,,,
090102,090102作物遗传育种,农学,09,0901,01,252,33,50,242,30,45,学硕, 314.67 , 336.03 , 229.83 , 289.53 ,,,,
090200,090200园艺学,农学,09,0902,02,252,33,50,242,30,45,学硕, 287.50 , 333.72 , 278.76 , 314.58 ,,,,
090201,090201果树学,农学,09,0902,02,252,33,50,242,30,45,学硕, 306.86 , 342.85 , 264.00 , 307.91 ,,,,
090202,090202蔬菜学,农学,09,0902,02,252,33,50,242,30,45,学硕, 309.70 , 331.60 , 285.67 , 311.70 ,,,,
090203,090203茶学,农学,09,0902,02,252,33,50,242,30,45,学硕, 354.80 , 338.20 , 291.50 , 286.07 ,,,,
090300,090300农业资源利用,农学,09,0903,03,252,33,50,242,30,45,学硕, 293.06 , 327.12 , 269.04 , 317.05 ,, 253.00 ,,
090301,090301土壤学,农学,09,0903,03,252,33,50,242,30,45,学硕, 330.71 , 355.17 , 268.00 , 303.08 ,,,,
090302,090302植物营养学,农学,09,0903,03,252,33,50,242,30,45,学硕, 304.83 , 348.43 , 262.20 , 291.67 ,,,,
090400,090400植物保护,农学,09,0904,04,252,33,50,242,30,45,学硕, 291.99 , 327.62 , 282.70 , 319.78 , 350.00 ,,,
090401,090401植物病理学,农学,09,0904,04,252,33,50,242,30,45,学硕, 327.13 , 342.04 , 287.78 , 288.21 ,,,,
090402,090402农业昆虫与害虫防治,农学,09,0904,04,252,33,50,242,30,45,学硕, 303.95 , 330.69 , 272.40 , 285.48 ,,,,
090403,090403农药学(可授农学、理学学位),农学,09,0904,04,252,33,50,242,30,45,学硕, 317.44 , 346.52 , 288.78 , 287.78 ,,,,
090500,090500畜牧学,农学,09,0905,05,252,33,50,242,30,45,学硕, 297.22 , 323.66 , 297.20 , 323.43 ,,,,
090501,090501动物遗传育种与繁殖,农学,09,0905,05,252,33,50,242,30,45,学硕, 331.02 , 344.88 , 277.31 , 291.56 ,,,,
090502,090502动物营养与饲料科学,农学,09,0905,05,252,33,50,242,30,45,学硕, 323.00 , 348.70 , 278.60 , 278.13 ,,,,
090503,090503草业科学,农学,09,0905,05,252,33,50,242,30,45,学硕,,,,,,,,
090504,090504特种经济动物饲养(含：蚕、蜂等),农学,09,0905,05,252,33,50,242,30,45,学硕, 318.39 , 319.44 , 248.50 , 297.00 ,,,,
090600,090600兽医学,农学,09,0906,06,252,33,50,242,30,45,学硕, 324.67 , 334.33 , 310.89 , 317.24 ,,,,
090601,090601基础兽医学,农学,09,0906,06,252,33,50,242,30,45,学硕, 304.33 , 347.79 , 264.75 , 293.42 ,,,,
090602,090602预防兽医学,农学,09,0906,06,252,33,50,242,30,45,学硕, 339.81 , 354.65 ,, 315.05 ,,,,
090603,090603临床兽医学,农学,09,0906,06,252,33,50,242,30,45,学硕, 326.86 , 342.67 , 306.00 , 311.46 ,,,,
090700,090700林学,农学,09,0907,07,252,33,50,242,30,45,学硕, 289.58 , 264.59 , 306.75 , 298.91 ,,,,
090701,090701林木遗传育种,农学,09,0907,07,252,33,50,242,30,45,学硕, 303.57 , 346.89 , 256.00 , 323.00 ,,, 250.00 ,
090702,090702森林培育,农学,09,0907,07,252,33,50,242,30,45,学硕, 317.96 , 347.16 , 259.00 , 323.78 ,,,, 268.00 
090703,090703森林保护学,农学,09,0907,07,252,33,50,242,30,45,学硕, 302.45 , 343.76 ,, 351.57 ,,,,
090704,090704森林经理学,农学,09,0907,07,252,33,50,242,30,45,学硕, 284.14 , 308.83 ,, 327.76 ,,,, 326.50 
090705,090705野生动植物保护与利用,农学,09,0907,07,252,33,50,242,30,45,学硕, 310.71 , 287.60 ,, 348.13 ,,,,
090706,090706园林植物与观赏园艺,农学,09,0907,07,252,33,50,242,30,45,学硕, 303.25 , 343.15 , 257.67 , 308.29 ,,,,
090707,090707水土保持与荒漠化防治,农学,09,0907,07,252,33,50,242,30,45,学硕, 308.70 , 323.18 , 283.40 , 306.77 ,,, 245.00 , 385.00 
090800,090800水产,农学,09,0908,08,252,33,50,242,30,45,学硕, 301.04 , 330.19 , 288.65 , 298.94 ,,,,
090801,090801水产养殖,农学,09,0908,08,252,33,50,242,30,45,学硕, 327.72 , 330.11 ,,,,,,
090802,090802捕捞学,农学,09,0908,08,252,33,50,242,30,45,学硕, 294.00 , 265.00 ,,,,,,
090803,090803渔业资源,农学,09,0908,08,252,33,50,242,30,45,学硕, 305.35 , 317.02 ,,,,,,
090900,090900草学,农学,09,0909,09,252,33,50,242,30,45,学硕, 298.45 , 313.01 , 265.47 , 335.21 ,,,,
100100,100100基础医学(可授医学、理学学位),医学,10,1001,01,299,41,123,289,38,114,学硕, 330.24 , 342.97 , 311.92 , 333.68 ,, 318.90 ,,
100101,100101人体解剖与组织胚胎学,医学,10,1001,01,299,41,123,289,38,114,学硕, 332.06 , 349.34 , 329.82 , 327.50 ,,,,
100102,100102免疫学,医学,10,1001,01,299,41,123,289,38,114,学硕, 341.92 , 345.76 , 326.43 , 318.71 ,,,,
100103,100103病原生物学,医学,10,1001,01,299,41,123,289,38,114,学硕, 338.79 , 338.22 , 335.15 , 319.67 ,, 303.00 ,,
100104,100104病理学与病理生理学,医学,10,1001,01,299,41,123,289,38,114,学硕, 339.25 , 343.03 , 340.22 , 319.30 ,,,,
100105,100105法医学,医学,10,1001,01,299,41,123,289,38,114,学硕, 332.67 , 365.00 , 333.80 , 364.00 ,,,,
100106,100106放射医学,医学,10,1001,01,299,41,123,289,38,114,学硕, 338.88 , 336.03 ,, 306.00 ,,,,
100107,100107航空、航天与航海医学,医学,10,1001,01,299,41,123,289,38,114,学硕,,,,,,,,
100200,100200临床医学,医学,10,1002,02,299,41,123,289,38,114,学硕, 342.46 , 347.62 , 327.40 , 297.60 ,, 323.32 ,,
100201,100201内科学(含：心血管病、血液病、呼吸系病、消化系病、内分泌与代谢病、肾病、风湿病、传,医学,10,1002,02,299,41,123,289,38,114,学硕, 348.17 , 345.62 , 328.30 , 329.05 ,,,,
100202,100202儿科学,医学,10,1002,02,299,41,123,289,38,114,学硕, 345.01 , 348.26 , 335.50 , 312.60 ,,,,
100203,100203老年医学,医学,10,1002,02,299,41,123,289,38,114,学硕, 345.11 , 333.00 , 318.80 ,,,,,
100204,100204神经病学,医学,10,1002,02,299,41,123,289,38,114,学硕, 340.79 , 349.42 , 328.00 , 346.90 ,,,,
100205,100205精神病与精神卫生学,医学,10,1002,02,299,41,123,289,38,114,学硕, 342.40 , 355.14 , 343.00 ,,,,,
